champion,release_date,last_patch,num_skins,win_rate,ban_rate,pick_rate,date_data
Twisted Fate,2009-02-21,9.4,11,48.01%,0.33%,4.69%,2019-07-17
Twitch,2009-05-01,8.14,9,49.93%,1.64%,6.87%,2019-07-17
Udyr,2009-12-02,9.13,4,52.65%,5.97%,5.17%,2019-07-17
Urgot,2010-08-24,9.7,4,53.22%,2.96%,4.46%,2019-07-17
Varus,2012-05-08,9.4,7,47.82%,0.30%,5.01%,2019-07-17
Vayne,2011-05-10,9.10,10,49.72%,8.34%,14.56%,2019-07-17
Veigar,2009-07-24,8.19,9,51.01%,3.80%,8.91%,2019-07-17
Vel'Koz,2014-02-27,8.14,3,51.76%,1.66%,6.99%,2019-07-17
Vi,2012-12-19,9.5,7,53.09%,3.90%,8.34%,2019-07-17
Viktor,2011-12-29,8.24,4,48.59%,0.21%,2.12%,2019-07-17
Vladimir,2010-07-27,8.13,8,49.10%,13.25%,7.61%,2019-07-17
Volibear,2011-11-29,9.9,5,52.93%,1.76%,6.85%,2019-07-17
Warwick,2009-02-21,9.11,11,52.69%,1.61%,6.94%,2019-07-17
Wukong,2011-07-26,9.4,6,51.11%,0.50%,3.10%,2019-07-17
Xayah,2017-04-19,9.6,3,51.57%,0.91%,7.02%,2019-07-17
Xerath,2011-10-05,8.9,4,50.93%,1.66%,5.88%,2019-07-17
Xin Zhao,2010-07-13,9.10,8,49.60%,1.33%,4.94%,2019-07-17
Yasuo,2013-12-13,9.4,6,49.31%,42.61%,18.80%,2019-07-17
Yorick,2011-06-22,9.5,4,52.88%,1.70%,3.26%,2019-07-17
Yuumi,2019-05-14,9.12,1,48.10%,44.82%,13.12%,2019-07-17
Zac,2013-03-29,9.12,3,50.38%,0.69%,2.98%,2019-07-17
Zed,2012-11-13,9.8,6,50.54%,40.57%,11.73%,2019-07-17
Ziggs,2012-02-01,9.12,7,50.84%,0.27%,1.98%,2019-07-17
Zilean,2009-04-18,8.9,5,52.47%,1.18%,3.81%,2019-07-17
Zoe,2017-11-21,9.6,2,46.60%,4.11%,3.45%,2019-07-17
Zyra,2012-07-24,9.10,4,52.92%,3.88%,5.67%,2019-07-17
